UniProt	SwissProt	Chembl	Annotation
5HT5A_RAT	P35364	CHEMBL4655	Serotonin 5a (5-HT5a) Receptor, Rat
5HT5B_RAT	P35365	CHEMBL2619	Serotonin 5b (5-HT5b) Receptor, Rat
5HT6R_HUMAN	P50406	CHEMBL3371	Serotonin 6 (5-HT6) Receptor, Human
5HT6R_RAT	P31388	CHEMBL3372	Serotonin 6 (5-HT6) Receptor, Rat
5HT7R_HUMAN	P34969	CHEMBL3155	Serotonin 7 (5-HT7) Receptor, Human
5HT7R_MOUSE	P32304	CHEMBL4764	Serotonin 7 (5-HT7) Receptor, Mouse
5HT7R_RAT	P32305	CHEMBL3223	Serotonin 7 (5-HT7) Receptor, Rat
5NTD_RAT	P21588	CHEMBL1075214	5'-nucleotidase, Rat
6PGD_HUMAN	P52209	CHEMBL3404	6-phosphogluconate Dehydrogenase, Human
6PGD_SHEEP	P00349	CHEMBL1169597	6-phosphogluconate Dehydrogenase, Decarboxylating, Sheep
A0MJA4_CANFA	A0MJA4	CHEMBL5301	Niemann-Pick C1-like 1 Protein, Canine
A0MJA5_MACMU	A0MJA5	CHEMBL5302	Niemann-Pick C1-like 1 Protein, Macmu
A0ZX81_KLEPN	A0ZX81	CHEMBL1255121	Beta-lactamase, Klepn
A1E3K9_ECOLX	A1E3K9	CHEMBL1075073	Beta-lactamase SCO-1, Ecolx
A1Z199_HUMAN	A1Z199	CHEMBL6105	BCR/ABL P210 Fusion Protein, Human
A1ZA98_DROME	A1ZA98	CHEMBL4265	CG8425-PA [Drosophila Melanogaster], Drome
A2AIR5_MOUSE	A2AIR5	CHEMBL2562	Glutamate [NMDA] Receptor Subunit 3A, Mouse
A2AMW3_MOUSE	A2AMW3	CHEMBL3121	GABA Receptor Epsilon Subunit, Mouse
A2RP81_CITFR	A2RP81	CHEMBL5303	PER-2 Beta-lactamase, Citfr
A3EZI9_9HEPC	A3EZI9	CHEMBL4893	Hepatitis C Virus NS3 Protease/helicase, 9hepc
A3RLP8_CHV1	A3RLP8	CHEMBL1075062	Thymidine Kinase, Chv1
A4KCT8_9ENTR	A4KCT8	CHEMBL1075063	Gil1, 9entr
A4ZYU9_ECOLX	A4ZYU9	CHEMBL5305	Beta-lactamase ACC-4, Ecolx
A4_HUMAN	P05067	CHEMBL2487	Beta Amyloid A4 Protein, Human
A5A4K8_RABIT	A5A4K8	CHEMBL5306	Motilin Receptor, Rabit
A5Z252_9INFA	A5Z252	CHEMBL1667684	Neuraminidase, 9infa
A6BR99_YERPE	A6BR99	CHEMBL1075036	Yersiniabactin Siderophore Biosynthetic Protein, Yerpe
A7L861_PIG	A7L861	CHEMBL5436	Squalene Epoxidase, Pig
A85C_MYCTU	P0A4V4	CHEMBL4624	Fibonectin-binding Protein C, Myctu
A8K327_HUMAN	A8K327	CHEMBL3046	Sialidase 3, Human
A8RR46_BACCS	A8RR46	CHEMBL5439	Beta-lactamase, Baccs
AA1R_BOVIN	P28190	CHEMBL4975	Adenosine A1 Receptor, Bovin
AA1R_CHICK	P49892	CHEMBL2114	Adenosine A1 Receptor, Chick
AA1R_HUMAN	P30542	CHEMBL226	Adenosine A1 Receptor, Human
AA1R_MOUSE	Q60612	CHEMBL3688	Adenosine A1 Receptor, Mouse
AA1R_RAT	P25099	CHEMBL318	Adenosine A1 Receptor, Rat
AA2AR_CAVPO	P46616	CHEMBL2605	Adenosine A2a Receptor, Guinea Pig
AA2AR_HUMAN	P29274	CHEMBL251	Adenosine A2a Receptor, Human
AA2AR_MOUSE	Q60613	CHEMBL2115	Adenosine A2a Receptor, Mouse
AA2AR_RAT	P30543	CHEMBL302	Adenosine A2a Receptor, Rat
AA2BR_HUMAN	P29275	CHEMBL255	Adenosine A2b Receptor, Human
AA2BR_MOUSE	Q60614	CHEMBL2237	Adenosine A2b Receptor, Mouse
AA2BR_RAT	P29276	CHEMBL2592	Adenosine A2b Receptor, Rat
AA3R_BOVIN	Q0VC81	CHEMBL1287626	Adenosine Receptor A3, Bovin
AA3R_HUMAN	P33765	CHEMBL256	Adenosine A3 Receptor, Human
AA3R_MOUSE	Q61618	CHEMBL1075269	Adenosine Receptor A3, Mouse
AA3R_RAT	P28647	CHEMBL3360	Adenosine A3 Receptor, Rat
AADAT_RAT	Q64602	CHEMBL2662	Kynurenine/alpha-aminoadipate Aminotransferase, Rat
AAK1_HUMAN	Q2M2I8	CHEMBL3830	Adaptor-associated Kinase, Human
AAKB1_HUMAN	Q9Y478	CHEMBL3847	AMP-activated Protein Kinase, Beta-1 Subunit, Human
AAKG1_HUMAN	P54619	CHEMBL2393	AMP-activated Protein Kinase, Gamma-1 Subunit, Human
AAPK1_HUMAN	Q13131	CHEMBL4045	AMP-activated Protein Kinase, Alpha-1 Subunit, Human
AAPK1_RAT	P54645	CHEMBL4533	AMP-activated Protein Kinase, Alpha-1 Subunit, Rat
AAPK2_HUMAN	P54646	CHEMBL2116	AMP-activated Protein Kinase, Alpha-2 Subunit, Human
AAPK2_RAT	Q09137	CHEMBL4637	AMP-activated Protein Kinase, Alpha-2 Subunit, Rat
ABAH3_ARATH	Q9FH76	CHEMBL4538	Cytochrome P450 Monooxygenase, Arath
ABCC8_HUMAN	Q09428	CHEMBL2071	Sulfonylurea Receptor 1, Human
ABCC9_HUMAN	O60706	CHEMBL1971	Sulfonylurea Receptor 2, Human
ABCC9_RAT	Q63563	CHEMBL3244	Sulfonylurea Receptor 2, Rat
ABCG2_HUMAN	Q9UNQ0	CHEMBL5393	ATP-binding Cassette Sub-family G Member 2, Human
ABD12_HUMAN	Q8N2K0	CHEMBL5516	Monoacylglycerol Lipase ABHD12, Human
ABHD6_MOUSE	Q8R2Y0	CHEMBL5010	Monoacylglycerol Lipase ABHD6, Mouse
ABHGA_HUMAN	O95870	CHEMBL6168	Protein BAT5, Human
ABL1_HUMAN	P00519	CHEMBL1862	Tyrosine-protein Kinase ABL, Human
ABL1_MOUSE	P00520	CHEMBL3099	Tyrosine-protein Kinase ABL, Mouse
ABL2_HUMAN	P42684	CHEMBL4014	Tyrosine-protein Kinase ABL2, Human
ABL2_MOUSE	Q4JIM5	CHEMBL5222	Tyrosine-protein Kinase ABL2, Mouse
ABL_MLVAB	P00521	CHEMBL5166	Tyrosine-protein Kinase V-ABL, Mlvab
ABP1_HUMAN	P19801	CHEMBL2118	Diamine Oxidase, Human
ABP1_RAT	P36633	CHEMBL4648	Diamine Oxidase, Rat
ACACA_HUMAN	Q13085	CHEMBL3351	Acetyl-CoA Carboxylase 1, Human
ACACA_RAT	P11497	CHEMBL2397	Acetyl-CoA Carboxylase 1, Rat
ACACB_HUMAN	O00763	CHEMBL4829	Acetyl-CoA Carboxylase 2, Human
ACCN2_HUMAN	P78348	CHEMBL1628477	Amiloride-sensitive Cation Channel 2, Neuronal, Human
ACCN3_HUMAN	Q9UHC3	CHEMBL5368	Amiloride-sensitive Cation Channel 3, Human
ACCN3_RAT	O35240	CHEMBL5757	Amiloride-sensitive Cation Channel 3, Rat
ACE2_HUMAN	Q9BYF1	CHEMBL3736	Angiotensin-converting Enzyme 2, Human
ACE2_RAT	Q5EGZ1	CHEMBL2311	Angiotensin-converting Enzyme-related Carboxypeptidase, Rat
ACEA_CANAX	Q9P8Q7	CHEMBL5359	Isocitrate Lyase, Canax
ACEA_MYCTU	P0A5H3	CHEMBL1667699	Isocitrate Lyase, Myctu
ACES_BOVIN	P23795	CHEMBL4768	Acetylcholinesterase, Bovin
ACES_ELEEL	O42275	CHEMBL4078	Acetylcholinesterase, Eleel
ACES_HUMAN	P22303	CHEMBL220	Acetylcholinesterase, Human
ACES_MOUSE	P21836	CHEMBL3198	Acetylcholinesterase, Mouse
ACES_RAT	P37136	CHEMBL3199	Acetylcholinesterase, Rat
ACES_TORCA	P04058	CHEMBL4780	Acetylcholinesterase, Torca
ACE_HUMAN	P12821	CHEMBL1808	Angiotensin-converting Enzyme, Human
ACE_MOUSE	P09470	CHEMBL2994	Angiotensin-converting Enzyme, Mouse
ACE_RABIT	P12822	CHEMBL4074	Angiotensin-converting Enzyme, Rabit
ACE_RAT	P47820	CHEMBL2625	Angiotensin-converting Enzyme, Rat
ACH10_HUMAN	Q9GZZ6	CHEMBL2551	Neuronal Acetylcholine Receptor Protein Alpha-10 Subunit, Human
ACH10_RAT	Q9JLB5	CHEMBL3461	Neuronal Acetylcholine Receptor Protein Alpha-10 Subunit, Rat
ACHA2_HUMAN	Q15822	CHEMBL1794	Neuronal Acetylcholine Receptor Protein Alpha-2 Subunit, Human
ACHA2_RAT	P12389	CHEMBL2584	Neuronal Acetylcholine Receptor Protein Alpha-2 Subunit, Rat
ACHA3_HUMAN	P32297	CHEMBL3068	Neuronal Acetylcholine Receptor Protein Alpha-3 Subunit, Human
ACHA3_RAT	P04757	CHEMBL3818	Neuronal Acetylcholine Receptor Protein Alpha-3 Subunit, Rat
ACHA4_CHICK	P09482	CHEMBL5569	Neuronal Acetylcholine Receptor Subunit Alpha-4, Chick
ACHA4_HUMAN	P43681	CHEMBL1882	Neuronal Acetylcholine Receptor Protein Alpha-4 Subunit, Human
ACHA4_MOUSE	O70174	CHEMBL4457	Neuronal Acetylcholine Receptor Protein Alpha-4 Subunit, Mouse
ACHA4_RAT	P09483	CHEMBL307	Neuronal Acetylcholine Receptor Protein Alpha-4 Subunit, Rat
ACHA5_HUMAN	P30532	CHEMBL2454	Neuronal Acetylcholine Receptor Protein Alpha-5 Subunit, Human
ACHA5_RAT	P20420	CHEMBL4960	Neuronal Acetylcholine Receptor Protein Alpha-5 Subunit, Rat
ACHA6_HUMAN	Q15825	CHEMBL2356	Neuronal Acetylcholine Receptor Protein Alpha-6 Subunit, Human
ACHA6_MOUSE	Q9R0W9	CHEMBL6183	Neuronal Acetylcholine Receptor Subunit Alpha-6, Mouse
ACHA6_RAT	P43143	CHEMBL4747	Neuronal Acetylcholine Receptor Protein Alpha-6 Subunit, Rat
ACHA7_HUMAN	P36544	CHEMBL2492	Neuronal Acetylcholine Receptor Protein Alpha-7 Subunit, Human
ACHA7_MOUSE	P49582	CHEMBL3365	Neuronal Acetylcholine Receptor Protein Alpha-7 Subunit, Mouse
ACHA7_RAT	Q05941	CHEMBL4980	Neuronal Acetylcholine Receptor Protein Alpha-7 Subunit, Rat
ACHA9_HUMAN	Q9UGM1	CHEMBL2184	Neuronal Acetylcholine Receptor Protein Alpha-9 Subunit, Human
ACHA9_RAT	P43144	CHEMBL2585	Neuronal Acetylcholine Receptor Protein Alpha-9 Subunit, Rat
ACHA_HUMAN	P02708	CHEMBL4808	Acetylcholine Receptor Protein Alpha Chain, Human
ACHA_MOUSE	P04756	CHEMBL2449	Acetylcholine Receptor Protein Alpha Chain, Mouse
ACHA_RAT	P25108	CHEMBL3599	Acetylcholine Receptor Protein Alpha Chain, Rat
ACHA_TORCA	P02710	CHEMBL3097	Acetylcholine Receptor Protein Alpha Chain, Torca
ACHB2_HUMAN	P17787	CHEMBL1883	Neuronal Acetylcholine Receptor Protein Beta-2 Subunit, Human
ACHB2_RAT	P12390	CHEMBL3001	Neuronal Acetylcholine Receptor Protein Beta-2 Subunit, Rat
ACHB3_HUMAN	Q05901	CHEMBL2586	Neuronal Acetylcholine Receptor Protein Beta-3 Subunit, Human
ACHB3_MOUSE	Q8BMN3	CHEMBL1781863	Neuronal Acetylcholine Receptor Subunit Beta-3, Mouse
ACHB3_RAT	P12391	CHEMBL4568	Neuronal Acetylcholine Receptor Protein Beta-3 Subunit, Rat
ACHB4_HUMAN	P30926	CHEMBL3002	Neuronal Acetylcholine Receptor Protein Beta-4 Subunit, Human
ACHB4_MOUSE	Q8R493	CHEMBL1255157	Neuronal Acetylcholine Receptor Subunit Beta-4, Mouse
ACHB4_RAT	P12392	CHEMBL2658	Neuronal Acetylcholine Receptor Protein Beta-4 Subunit, Rat
ACHB_HUMAN	P11230	CHEMBL3355	Acetylcholine Receptor Protein Beta Chain, Human
ACHB_MOUSE	P09690	CHEMBL2690	Acetylcholine Receptor Protein Beta Chain, Mouse
ACHB_RAT	P25109	CHEMBL2666	Acetylcholine Receptor Protein Beta Chain, Rat
ACHB_TORCA	P02712	CHEMBL3803	Acetylcholine Receptor Protein Beta Chain, Torca
ACHD_HUMAN	Q07001	CHEMBL3011	Acetylcholine Receptor Protein Delta Chain, Human
ACHD_TORCA	P02718	CHEMBL3916	Acetylcholine Receptor Protein Delta Chain, Torca
ACHE_HUMAN	Q04844	CHEMBL2484	Acetylcholine Receptor Protein Epsilon Chain, Human
ACHG_HUMAN	P07510	CHEMBL2613	Acetylcholine Receptor Protein Gamma Chain, Human
ACHG_TORCA	P02714	CHEMBL4019	Acetylcholine Receptor Protein Gamma Chain, Torca
ACHP_LYMST	P58154	CHEMBL6084	Acetylcholine-binding Protein, Lymst
ACK1_HUMAN	Q07912	CHEMBL4599	Tyrosine Kinase Non-receptor Protein 2, Human
ACLY_HUMAN	P53396	CHEMBL3720	ATP-citrate Synthase, Human
ACLY_RAT	P16638	CHEMBL2745	ATP-citrate Synthase, Rat
ACM1_HUMAN	P11229	CHEMBL216	Muscarinic Acetylcholine Receptor M1, Human
ACM1_MOUSE	P12657	CHEMBL3733	Muscarinic Acetylcholine Receptor M1, Mouse
ACM1_RAT	P08482	CHEMBL276	Muscarinic Acetylcholine Receptor M1, Rat
ACM2_HUMAN	P08172	CHEMBL211	Muscarinic Acetylcholine Receptor M2, Human
ACM2_MOUSE	Q9ERZ4	CHEMBL3197	Muscarinic Acetylcholine Receptor M2, Mouse
ACM2_PIG	P06199	CHEMBL4781	Muscarinic Acetylcholine Receptor M2, Pig
ACM2_RAT	P10980	CHEMBL309	Muscarinic Acetylcholine Receptor M2, Rat
ACM3_HUMAN	P20309	CHEMBL245	Muscarinic Acetylcholine Receptor M3, Human
ACM3_MOUSE	Q9ERZ3	CHEMBL5105	Muscarinic Acetylcholine Receptor M3, Mouse
ACM3_RAT	P08483	CHEMBL320	Muscarinic Acetylcholine Receptor M3, Rat
ACM4_HUMAN	P08173	CHEMBL1821	Muscarinic Acetylcholine Receptor M4, Human
ACM4_MOUSE	P32211	CHEMBL4572	Muscarinic Acetylcholine Receptor M4, Mouse
ACM4_RAT	P08485	CHEMBL317	Muscarinic Acetylcholine Receptor M4, Rat
ACM5_HUMAN	P08912	CHEMBL2035	Muscarinic Acetylcholine Receptor M5, Human
ACM5_MOUSE	Q920H4	CHEMBL2324	Muscarinic Acetylcholine Receptor M5, Mouse
ACM5_RAT	P08911	CHEMBL277	Muscarinic Acetylcholine Receptor M5, Rat
ACOD1_MOUSE	P13516	CHEMBL5353	Acyl-CoA Desaturase 1, Mouse
ACOD1_RAT	P07308	CHEMBL5424	Acyl-CoA Desaturase 1, Rat
ACOD_HUMAN	O00767	CHEMBL5555	Acyl-CoA Desaturase, Human
ACOX1_RAT	P07872	CHEMBL4632	Palmitoyl-CoA Oxidase, Rat
ACPS_BACSU	P96618	CHEMBL4734	Holo-[acyl-carrieir-protein] Synthase, Bacsu
ACV1B_HUMAN	P36896	CHEMBL5310	Activin Receptor Type-1B, Human
ACVL1_HUMAN	P37023	CHEMBL5311	Serine/threonine-protein Kinase Receptor R3, Human
ACVR1_HUMAN	Q04771	CHEMBL5903	Activin Receptor Type-1, Human
ADA10_HUMAN	O14672	CHEMBL5028	ADAM10, Human
ADA12_HUMAN	O43184	CHEMBL5030	ADAM12, Human
ADA17_HUMAN	P78536	CHEMBL3706	ADAM17, Human
ADA17_MOUSE	Q9Z0F8	CHEMBL4379	ADAM17, Mouse
ADA17_PIG	O77636	CHEMBL3332	ADAM17, Pig
ADA17_RAT	Q9Z1K9	CHEMBL2523	ADAM17, Rat
ADA1A_BOVIN	P18130	CHEMBL4892	Alpha-1a Adrenergic Receptor, Bovin
ADA1A_HUMAN	P35348	CHEMBL229	Alpha-1a Adrenergic Receptor, Human
ADA1A_RABIT	O02824	CHEMBL3637	Alpha-1a Adrenergic Receptor, Rabit
ADA1A_RAT	P43140	CHEMBL319	Alpha-1a Adrenergic Receptor, Rat
ADA1B_HUMAN	P35368	CHEMBL232	Alpha-1b Adrenergic Receptor, Human
ADA1B_MESAU	P18841	CHEMBL3122	Alpha-1b Adrenergic Receptor, Mesau
ADA1B_RAT	P15823	CHEMBL315	Alpha-1b Adrenergic Receptor, Rat
ADA1D_HUMAN	P25100	CHEMBL223	Alpha-1d Adrenergic Receptor, Human
ADA1D_RAT	P23944	CHEMBL326	Alpha-1d Adrenergic Receptor, Rat
ADA2A_BOVIN	Q28838	CHEMBL4744	Alpha-2a Adrenergic Receptor, Bovin
ADA2A_HUMAN	P08913	CHEMBL1867	Alpha-2a Adrenergic Receptor, Human
ADA2A_MOUSE	Q01338	CHEMBL4075	Alpha-2a Adrenergic Receptor, Mouse
ADA2A_PIG	P18871	CHEMBL2350	Alpha-2a Adrenergic Receptor, Pig
ADA2A_RAT	P22909	CHEMBL327	Alpha-2a Adrenergic Receptor, Rat
ADA2B_BOVIN	O77700	CHEMBL3523	Alpha-2b Adrenergic Receptor, Bovin
ADA2B_HUMAN	P18089	CHEMBL1942	Alpha-2b Adrenergic Receptor, Human
ADA2B_MOUSE	P30545	CHEMBL2405	Alpha-2b Adrenergic Receptor, Mouse
ADA2B_RAT	P19328	CHEMBL266	Alpha-2b Adrenergic Receptor, Rat
ADA2C_HUMAN	P18825	CHEMBL1916	Alpha-2c Adrenergic Receptor, Human
ADA2C_MOUSE	Q01337	CHEMBL4826	Alpha-2c Adrenergic Receptor, Mouse
ADA2C_RAT	P22086	CHEMBL314	Alpha-2c Adrenergic Receptor, Rat
ADA33_HUMAN	Q9BZ11	CHEMBL6121	Disintegrin And Metalloproteinase Domain-containing Protein 33, Human
ADAM8_HUMAN	P78325	CHEMBL5665	Disintegrin And Metalloproteinase Domain-containing Protein 8, Human
ADAM9_HUMAN	Q13443	CHEMBL5982	ADAM9, Human
ADA_BOVIN	P56658	CHEMBL2966	Adenosine Deaminase, Bovin
ADA_HUMAN	P00813	CHEMBL1910	Adenosine Deaminase, Human
ADA_MOUSE	P03958	CHEMBL3206	Adenosine Deaminase, Mouse
ADCK3_HUMAN	Q8NI60	CHEMBL5550	Chaperone Activity Of Bc1 Complex-like, Mitochondrial, Human
ADCK4_HUMAN	Q96D53	CHEMBL5753	Uncharacterized AarF Domain-containing Protein Kinase 4, Human
ADCY1_BOVIN	P19754	CHEMBL3549	Adenylate Cyclase Type I, Bovin
ADCY1_HUMAN	Q08828	CHEMBL2899	Brain Adenylate Cyclase 1, Human
ADCY1_MOUSE	O88444	CHEMBL3532	Adenylate Cyclase Type I, Mouse
ADCY2_HUMAN	Q08462	CHEMBL3760	Adenylate Cyclase Type II, Human
ADCY2_MOUSE	Q80TL1	CHEMBL3049	Adenylate Cyclase Type II, Mouse
ADCY2_RAT	P26769	CHEMBL2958	Adenylate Cyclase Type II, Rat
ADCY3_HUMAN	O60266	CHEMBL3164	Adenylate Cyclase Type III, Human
ADCY3_MOUSE	Q8VHH7	CHEMBL2920	Adenylate Cyclase Type III, Mouse
ADCY3_RAT	P21932	CHEMBL4864	Adenylate Cyclase Type III, Rat
ADCY4_HUMAN	Q8NFM4	CHEMBL2533	Adenylate Cyclase Type IV, Human
ADCY4_MOUSE	Q91WF3	CHEMBL2556	Adenylate Cyclase Type IV, Mouse
ADCY4_RAT	P26770	CHEMBL2879	Adenylate Cyclase Type IV, Rat
ADCY5_HUMAN	O95622	CHEMBL3189	Adenylate Cyclase Type V, Human
ADCY5_MOUSE	P84309	CHEMBL2561	Adenylate Cyclase Type V, Mouse
ADCY5_RAT	Q04400	CHEMBL2880	Adenylate Cyclase Type V, Rat
ADCY6_HUMAN	O43306	CHEMBL3221	Adenylate Cyclase Type VI, Human
ADCY6_MOUSE	Q01341	CHEMBL3015	Adenylate Cyclase Type VI, Mouse
ADCY6_RAT	Q03343	CHEMBL2975	Adenylate Cyclase Type VI, Rat
ADCY7_HUMAN	P51828	CHEMBL4922	Adenylate Cyclase Type VII, Human
ADCY7_MOUSE	P51829	CHEMBL3016	Adenylate Cyclase Type VII, Mouse
ADCY8_HUMAN	P40145	CHEMBL2960	Adenylate Cyclase Type VIII, Human
ADCY8_MOUSE	P97490	CHEMBL2961	Adenylate Cyclase Type VIII, Mouse
ADCY8_RAT	P40146	CHEMBL3082	Adenylate Cyclase Type VIII, Rat
ADCY9_HUMAN	O60503	CHEMBL2655	Adenylate Cyclase Type IX, Human
ADCYA_HUMAN	Q96PN6	CHEMBL5854	Adenylate Cyclase Type 10, Human
ADH1A_HUMAN	P07327	CHEMBL1970	Alcohol Dehydrogenase Alpha Chain, Human
ADH1B_HUMAN	P00325	CHEMBL3284	Alcohol Dehydrogenase Beta Chain, Human
ADH1E_HORSE	P00327	CHEMBL2624	Alcohol Dehydrogenase E Chain, Horse
ADH1G_HUMAN	P00326	CHEMBL3285	Alcohol Dehydrogenase Gamma Chain, Human
ADH1S_HORSE	P00328	CHEMBL3443	Alcohol Dehydrogenase S Chain, Horse
ADH4_HUMAN	P08319	CHEMBL2990	Alcohol Dehydrogenase Class II, Human
ADH6_HUMAN	P28332	CHEMBL4765	Alcohol Dehydrogenase 6, Human
ADH7_HUMAN	P40394	CHEMBL3867	Alcohol Dehydrogenase Class IV, Human
ADHX_HUMAN	P11766	CHEMBL4116	Alcohol Dehydrogenase Class III, Human
ADK_HUMAN	P55263	CHEMBL3589	Adenosine Kinase, Human
ADK_RAT	Q64640	CHEMBL2384	Adenosine Kinase, Rat
ADK_TOXGO	Q9TVW2	CHEMBL2982	Adenosine Kinase, Toxgo
ADRB1_BOVIN	Q9TT96	CHEMBL2313	Beta-1 Adrenergic Receptor, Bovin
ADRB1_HUMAN	P08588	CHEMBL213	Beta-1 Adrenergic Receptor, Human
ADRB1_MOUSE	P34971	CHEMBL3440	Beta-1 Adrenergic Receptor, Mouse
ADRB1_RAT	P18090	CHEMBL3252	Beta-1 Adrenergic Receptor, Rat
ADRB2_BOVIN	Q28044	CHEMBL3373	Beta-2 Adrenergic Receptor, Bovin
ADRB2_CANFA	P54833	CHEMBL2289	Beta-2 Adrenergic Receptor, Canine
ADRB2_CAVPO	Q8K4Z4	CHEMBL5414	Beta-2 Adrenergic Receptor, Guinea Pig
ADRB2_HUMAN	P07550	CHEMBL210	Beta-2 Adrenergic Receptor, Human
ADRB2_MESAU	P04274	CHEMBL5943	Beta-2 Adrenergic Receptor, Mesau
