From	To	Species	Gene Name
PLK3_HUMAN	791566	Homo sapiens	polo-like kinase 3 (Drosophila)
LYN_RAT	411907	Rattus norvegicus	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
PUR9_HUMAN	816209	Homo sapiens	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
PARP2_HUMAN	822653	Homo sapiens	poly (ADP-ribose) polymerase 2
PDK2_HUMAN	799285	Homo sapiens	pyruvate dehydrogenase kinase, isozyme 2
KS6A5_HUMAN	775066	Homo sapiens	ribosomal protein S6 kinase, 90kDa, polypeptide 5
PDE6D_HUMAN	817824	Homo sapiens	phosphodiesterase 6D, cGMP-specific, rod, delta
SCN9A_HUMAN	792992	Homo sapiens	sodium channel, voltage-gated, type IX, alpha subunit
METC_ECOLI	5307363	Escherichia coli	Cystathionine beta-lyase metC
PTAFR_HUMAN	813748	Homo sapiens	platelet-activating factor receptor
SC5A1_RAT	400670	Rattus norvegicus	solute carrier family 5 (sodium/glucose cotransporter), member 1
MK14_HUMAN	784925	Homo sapiens	mitogen-activated protein kinase 14
KPCD1_HUMAN	801244	Homo sapiens	protein kinase D1
LOX15_HUMAN	799726	Homo sapiens	arachidonate 15-lipoxygenase
MTP_HUMAN	792492	Homo sapiens	microsomal triglyceride transfer protein
VPP1_CHICK	1205276	Gallus gallus	ATPase, H+ transporting, lysosomal V0 subunit a1
Q9ZTP8_MAIZE	3252828	Zea mays	histone deacetylase
SSR2_HUMAN	773021	Homo sapiens	somatostatin receptor 2
TYRO_HUMAN	813550	Homo sapiens	tyrosinase-like (pseudogene); tyrosinase (oculocutaneous albinism IA)
UCHL1_HUMAN	786081	Homo sapiens	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
LOX5_HUMAN	773292	Homo sapiens	arachidonate 5-lipoxygenase
PTP1_YEAST	3125285	Saccharomyces cerevisiae	Tyrosine-protein phosphatase 1
MTAP_HUMAN	781573	Homo sapiens	methylthioadenosine phosphorylase
PDE2A_BOVIN	595295	Bos taurus	phosphodiesterase 2A, cGMP-stimulated
VGFR1_HUMAN	823526	Homo sapiens	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
S15A1_HUMAN	781155	Homo sapiens	solute carrier family 15 (oligopeptide transporter), member 1
MMP13_RAT	417692	Rattus norvegicus	matrix metallopeptidase 13
PA21B_RAT	408078	Rattus norvegicus	phospholipase A2, group IB, pancreas
PARP1_HUMAN	806958	Homo sapiens	poly (ADP-ribose) polymerase 1
RASH_HUMAN	785016	Homo sapiens	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
PDE2A_RAT	406612	Rattus norvegicus	phosphodiesterase 2A, cGMP-stimulated
PIM1_HUMAN	792306	Homo sapiens	pim-1 oncogene
NTCP_HUMAN	806797	Homo sapiens	solute carrier family 10 (sodium/bile acid cotransporter family), member 1
TRYG1_HUMAN	774200	Homo sapiens	tryptase gamma 1
TRXR2_PLAF7	2589910	Plasmodium falciparum	PFI1170c
MMP12_MOUSE	426383	Mus musculus	matrix metallopeptidase 12
PDPK1_HUMAN	818745	Homo sapiens	3-phosphoinositide dependent protein kinase-1
NIM1_HUMAN	818299	Homo sapiens	serine/threonine-protein kinase NIM1
RXRB_HUMAN	813301	Homo sapiens	retinoid X receptor, beta
TYPH_ECOLI	5300531	Escherichia coli	Thymidine phosphorylase
KCNN3_HUMAN	782256	Homo sapiens	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
S1PR3_HUMAN	822320	Homo sapiens	sphingosine-1-phosphate receptor 3
MARK3_HUMAN	789389	Homo sapiens	MAP/microtubule affinity-regulating kinase 3
PARP3_HUMAN	809553	Homo sapiens	poly (ADP-ribose) polymerase family, member 3
PA24B_HUMAN	820776	Homo sapiens	JMJD7-PLA2G4B readthrough transcript; phospholipase A2, group IVB (cytosolic); jumonji domain containing 7
KTHY_HUMAN	809353	Homo sapiens	deoxythymidylate kinase (thymidylate kinase); similar to Deoxythymidylate kinase (thymidylate kinase)
PK3C3_HUMAN	797335	Homo sapiens	phosphoinositide-3-kinase, class 3
LASR_PSEAE	5649687	Pseudomonas aeruginosa	Transcriptional activator protein lasR
KC1D_RAT	389828	Rattus norvegicus	casein kinase 1, delta
THIL_RAT	416084	Rattus norvegicus	acetyl-coenzyme A acetyltransferase 1
PTN22_HUMAN	776614	Homo sapiens	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
PPAL_YEAST	3125375	Saccharomyces cerevisiae	Low molecular weight phosphotyrosine protein phosphatase
MYO3B_HUMAN	810549	Homo sapiens	myosin IIIB
PPIA_RAT	416775	Rattus norvegicus	peptidylprolyl isomerase A (cyclophilin A); similar to peptidylprolyl isomerase A (cyclophilin A)); similar to Peptidyl-prolyl cis-trans isomerase A (PPIase) (Rotamase) (Cyclophilin A) (Cyclosporin A-binding protein) (P31) (p1B15)
PDE4A_RAT	417196	Rattus norvegicus	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
PGH1_RABIT	536666	Oryctolagus cuniculus	cyclooxygenase-1
PCKGC_RAT	402156	Rattus norvegicus	phosphoenolpyruvate carboxykinase 1 (soluble)
MMP3_HUMAN	814649	Homo sapiens	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
TRPA1_MOUSE	422160	Mus musculus	transient receptor potential cation channel, subfamily A, member 1
Q8QGU2_CHICK	1227710	Gallus gallus	FK506 binding protein 1B, 12.6 kDa
PGFRB_MOUSE	452447	Mus musculus	platelet derived growth factor receptor, beta polypeptide
KPCI_HUMAN	778563	Homo sapiens	protein kinase C, iota
PA2G6_HUMAN	810824	Homo sapiens	phospholipase A2, group VI (cytosolic, calcium-independent)
SCN8A_RAT	390182	Rattus norvegicus	sodium channel, voltage gated, type VIII, alpha subunit
Q43014_PRUAV	6634422	Prunus avium	Beta-glucosidase (Fragment)
PTN2_HUMAN	818033	Homo sapiens	protein tyrosine phosphatase, non-receptor type 2
PCP_HUMAN	793436	Homo sapiens	prolylcarboxypeptidase (angiotensinase C)
LIPL_RAT	383260	Rattus norvegicus	lipoprotein lipase
Q81R22_BACAN	4464182	Bacillus anthracis	BAS2083
Q81R22_BACAN	4471122	Bacillus anthracis	BAA_2301; GBAA2237; BA2237; BAMEG_2357
SC6A1_MOUSE	425602	Mus musculus	solute carrier family 6 (neurotransmitter transporter, GABA), member 1
KCMA1_RAT	410675	Rattus norvegicus	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
NR1H2_HUMAN	774091	Homo sapiens	nuclear receptor subfamily 1, group H, member 2
SRMS_HUMAN	803214	Homo sapiens	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
MMP13_HUMAN	824104	Homo sapiens	matrix metallopeptidase 13 (collagenase 3)
PDE6A_BOVIN	590612	Bos taurus	phosphodiesterase 6A, cGMP-specific, rod, alpha
S6A11_RAT	388850	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
TYRO_MOUSE	433096	Mus musculus	tyrosinase
PDE9A_HUMAN	794930	Homo sapiens	phosphodiesterase 9A
LMBL3_HUMAN	808983	Homo sapiens	l(3)mbt-like 3 (Drosophila)
OPRM_MOUSE	431234	Mus musculus	opioid receptor, mu 1
SOAT2_HUMAN	801253	Homo sapiens	sterol O-acyltransferase 2
V1BR_RAT	387426	Rattus norvegicus	arginine vasopressin receptor 1B
THA_HUMAN	789944	Homo sapiens	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
M3K13_HUMAN	815168	Homo sapiens	mitogen-activated protein kinase kinase kinase 13
S1PR5_HUMAN	814772	Homo sapiens	sphingosine-1-phosphate receptor 5
PTGES_HUMAN	797658	Homo sapiens	prostaglandin E synthase
MET_MOUSE	435751	Mus musculus	met proto-oncogene
NK1R_HUMAN	772496	Homo sapiens	tachykinin receptor 1
RET_HUMAN	797411	Homo sapiens	ret proto-oncogene
SC6A3_RAT	396926	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
NU1M_HUMAN	810716	Homo sapiens	NADH-ubiquinone oxidoreductase chain 1
MMP11_MOUSE	460390	Mus musculus	matrix metallopeptidase 11
SSR1_RAT	415341	Rattus norvegicus	somatostatin receptor 1
TRXR3_HUMAN	811663	Homo sapiens	thioredoxin reductase 3
SSR5_HUMAN	775701	Homo sapiens	somatostatin receptor 5
KCNN1_HUMAN	775865	Homo sapiens	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
SC5A1_HUMAN	797148	Homo sapiens	solute carrier family 5 (sodium/glucose cotransporter), member 1
PPM1B_HUMAN	823430	Homo sapiens	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform
UTS2_MACMU	951708	Macaca mulatta	urotensin 2
MA2B2_HUMAN	807426	Homo sapiens	mannosidase, alpha, class 2B, member 2
MBTP1_HUMAN	794448	Homo sapiens	membrane-bound transcription factor peptidase, site 1
NU5M_HUMAN	783083	Homo sapiens	NADH-ubiquinone oxidoreductase chain 5
XPO1_HUMAN	804942	Homo sapiens	exportin 1 (CRM1 homolog, yeast)
PDE1A_HUMAN	797441	Homo sapiens	phosphodiesterase 1A, calmodulin-dependent
SC5A4_HUMAN	772862	Homo sapiens	solute carrier family 5 (low affinity glucose cotransporter), member 4
PA24A_HUMAN	810857	Homo sapiens	phospholipase A2, group IVA (cytosolic, calcium-dependent)
KPCT_HUMAN	805470	Homo sapiens	protein kinase C, theta
KPCG_HUMAN	776434	Homo sapiens	protein kinase C, gamma
MURI_ENTFA	4504280	Enterococcus faecalis	Glutamate racemase
MA2C1_RAT	380108	Rattus norvegicus	mannosidase, alpha, class 2C, member 1
NOS3_MOUSE	441804	Mus musculus	nitric oxide synthase 3, endothelial cell
MSHR_HUMAN	800760	Homo sapiens	tubulin, beta 3; melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
LAT1_RAT	413550	Rattus norvegicus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
TAAR1_RAT	382357	Rattus norvegicus	trace-amine-associated receptor 1
O70282_RAT	414422	Rattus norvegicus	trehalase (brush-border membrane glycoprotein)
Q6IE76_BOVIN	582789	Bos taurus	farnesyl-diphosphate farnesyltransferase 1
NK3R_RAT	387431	Rattus norvegicus	tachykinin receptor 3
PARP4_HUMAN	819713	Homo sapiens	poly (ADP-ribose) polymerase family, member 4
OX1R_HUMAN	785863	Homo sapiens	hypocretin (orexin) receptor 1
TGM2_HUMAN	790977	Homo sapiens	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
PA2GA_MOUSE	434890	Mus musculus	phospholipase A2, group IIA (platelets, synovial fluid)
PTN1_MOUSE	452925	Mus musculus	protein tyrosine phosphatase, non-receptor type 1
PLK4_HUMAN	809433	Homo sapiens	polo-like kinase 4 (Drosophila)
PDE1B_HUMAN	786195	Homo sapiens	phosphodiesterase 1B, calmodulin-dependent
RARG_HUMAN	787995	Homo sapiens	retinoic acid receptor, gamma
RON_MOUSE	423404	Mus musculus	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
M3K8_HUMAN	795831	Homo sapiens	mitogen-activated protein kinase kinase kinase 8
STK24_HUMAN	808225	Homo sapiens	serine/threonine kinase 24 (STE20 homolog, yeast)
UROK_HUMAN	780310	Homo sapiens	plasminogen activator, urokinase
PGH2_BOVIN	587395	Bos taurus	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
TOP2A_HUMAN	776843	Homo sapiens	topoisomerase (DNA) II alpha 170kDa
TBB8_HUMAN	809088	Homo sapiens	tubulin, beta 8
PPIA_HUMAN	805019	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
Q94F81_MAIZE	3249188	Zea mays	HD2 type histone deacetylase HDA106
NRAM_I34A1	142095	Influenza A virus	Neuraminidase
TRY3_HUMAN	811699	Homo sapiens	protease, serine, 3
PE2R3_RAT	399335	Rattus norvegicus	prostaglandin E receptor 3 (subtype EP3)
RARB_MOUSE	457244	Mus musculus	retinoic acid receptor, beta
P2RX1_RAT	388305	Rattus norvegicus	purinergic receptor P2X, ligand-gated ion channel, 1
PDE4C_RAT	391853	Rattus norvegicus	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)
NTR1_HUMAN	816949	Homo sapiens	neurotensin receptor 1 (high affinity)
KKCC1_HUMAN	776530	Homo sapiens	calcium/calmodulin-dependent protein kinase kinase 1, alpha
SCN8A_HUMAN	797788	Homo sapiens	sodium channel, voltage gated, type VIII, alpha subunit
MDR3_MOUSE	470916	Mus musculus	ATP-binding cassette, sub-family B (MDR/TAP), member 1A
KLK5_HUMAN	783622	Homo sapiens	kallikrein-related peptidase 5
SCN1A_HUMAN	791454	Homo sapiens	sodium channel, voltage-gated, type I, alpha subunit
PGFRA_RAT	408663	Rattus norvegicus	platelet derived growth factor receptor, alpha polypeptide
KPCD_HUMAN	797767	Homo sapiens	protein kinase C, delta
KISSR_HUMAN	824877	Homo sapiens	KISS1 receptor
ULK3_HUMAN	823070	Homo sapiens	unc-51-like kinase 3 (C. elegans)
TRY2_BOVIN	588048	Bos taurus	protease, serine, 2 (trypsin 2)
LSHR_HUMAN	783121	Homo sapiens	luteinizing hormone/choriogonadotropin receptor
PPCE_BOVIN	592340	Bos taurus	prolyl endopeptidase
PSN2_HUMAN	788319	Homo sapiens	presenilin 2 (Alzheimer disease 4)
NOS2_HUMAN	809118	Homo sapiens	nitric oxide synthase 2, inducible
NEUR3_HUMAN	792288	Homo sapiens	sialidase 3 (membrane sialidase)
PDE2A_HUMAN	779472	Homo sapiens	phosphodiesterase 2A, cGMP-stimulated
KCC1D_HUMAN	793318	Homo sapiens	calcium/calmodulin-dependent protein kinase ID
OXYR_RAT	405967	Rattus norvegicus	oxytocin receptor
PERF_HUMAN	775199	Homo sapiens	perforin 1 (pore forming protein)
O60989_PLAVI	2572260	Plasmodium vivax	PVX_086040
P2RX7_MOUSE	437614	Mus musculus	purinergic receptor P2X, ligand-gated ion channel, 7
RYR1_RABIT	544837	Oryctolagus cuniculus	ryanodine receptor
PDE5A_BOVIN	581760	Bos taurus	similar to cGMP-specific phosphodiesterase; phosphodiesterase 5A, cGMP-specific
Q9JLY8_RAT	411061	Rattus norvegicus	chemokine (C-C motif) receptor 1
STAT3_MOUSE	464474	Mus musculus	similar to Stat3B; signal transducer and activator of transcription 3
Q5EM59_BOVIN	585060	Bos taurus	androgen receptor
MK10_RAT	397445	Rattus norvegicus	mitogen activated protein kinase 10
SCNBA_HUMAN	788474	Homo sapiens	sodium channel, voltage-gated, type XI, alpha subunit
TLR4_HUMAN	772657	Homo sapiens	toll-like receptor 4
RIOK1_HUMAN	783002	Homo sapiens	RIO kinase 1 (yeast)
MRCKA_HUMAN	779928	Homo sapiens	CDC42 binding protein kinase alpha (DMPK-like)
SUIS_RAT	380585	Rattus norvegicus	sucrase-isomaltase (alpha-glucosidase)
MMP8_HUMAN	817933	Homo sapiens	matrix metallopeptidase 8 (neutrophil collagenase)
RABP1_MOUSE	456455	Mus musculus	cellular retinoic acid binding protein I
TRY1_BOVIN	573137	Bos taurus	cationic trypsin; similar to TRB@ protein
PPARG_RAT	390780	Rattus norvegicus	peroxisome proliferator-activated receptor gamma
PMYT1_HUMAN	824835	Homo sapiens	protein kinase, membrane associated tyrosine/threonine 1
MMP1_HUMAN	812816	Homo sapiens	matrix metallopeptidase 1 (interstitial collagenase)
PK3CB_HUMAN	812174	Homo sapiens	phosphoinositide-3-kinase, catalytic, beta polypeptide
VACHT_TORCA	6778820	Torpedo californica	Vesicular acetylcholine transporter
TNIK_HUMAN	818837	Homo sapiens	TRAF2 and NCK interacting kinase
MP2K1_HUMAN	811542	Homo sapiens	mitogen-activated protein kinase kinase 1
PNMT_HUMAN	822857	Homo sapiens	phenylethanolamine N-methyltransferase
NMDE4_MOUSE	467234	Mus musculus	glutamate receptor, ionotropic, NMDA2D (epsilon 4)
TRYD_HUMAN	823519	Homo sapiens	tryptase delta 1
M3K14_HUMAN	786821	Homo sapiens	mitogen-activated protein kinase kinase kinase 14
LCK_MOUSE	457519	Mus musculus	lymphocyte protein tyrosine kinase
M4K1_HUMAN	803463	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 1
MANBA_HUMAN	803127	Homo sapiens	mannosidase, beta A, lysosomal
UPP2_HUMAN	818897	Homo sapiens	uridine phosphorylase 2
PDE8B_HUMAN	817849	Homo sapiens	phosphodiesterase 8B
NPY1R_RAT	392804	Rattus norvegicus	neuropeptide Y receptor Y1
RIOK2_HUMAN	787379	Homo sapiens	RIO kinase 2 (yeast)
SC6A4_HUMAN	774302	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
SRBP2_HUMAN	787641	Homo sapiens	sterol regulatory element binding transcription factor 2
PMT1_CANAL	2817703	Candida albicans	Dolichyl-phosphate-mannose--protein mannosyltransferase 1
PMT1_CANAL	2821290	Candida albicans	Dolichyl-phosphate-mannose--protein mannosyltransferase 1
Q3S5C3_SALNE	3321615	Salmonella enterica	Quaternary ammonium compound-resistance protein sugE
PGH2_MOUSE	436280	Mus musculus	prostaglandin-endoperoxide synthase 2
MCL1_MOUSE	448604	Mus musculus	similar to myeloid cell leukemia sequence 1; myeloid cell leukemia sequence 1
LDHA_HUMAN	794884	Homo sapiens	lactate dehydrogenase A
NTCP2_HUMAN	814446	Homo sapiens	solute carrier family 10 (sodium/bile acid cotransporter family), member 2
NMBR_HUMAN	815400	Homo sapiens	neuromedin B receptor
NPM_HUMAN	810988	Homo sapiens	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)
OX2R_HUMAN	816392	Homo sapiens	hypocretin (orexin) receptor 2
PRIM_HHV11	333194	Human herpesvirus 1	HHV1gp076
LYAG_HUMAN	776708	Homo sapiens	glucosidase, alpha; acid
NPY5R_MOUSE	481877	Mus musculus	neuropeptide Y receptor Y5
TBA1A_RAT	387370	Rattus norvegicus	tubulin, alpha 3B; similar to alpha tubulin; tubulin, alpha 3A; similar to Tubulin alpha-2 chain (Alpha-tubulin 2); tubulin, alpha 1B; similar to tubulin, alpha 1; tubulin, alpha 1A
KCNN2_RAT	388666	Rattus norvegicus	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2
NOS1_RAT	394080	Rattus norvegicus	nitric oxide synthase 1, neuronal
NMDE3_HUMAN	824665	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate 2C
MDR2_MOUSE	439685	Mus musculus	ATP-binding cassette, sub-family B (MDR/TAP), member 4
RENI_CALJA	6766249	Callithrix jacchus	Renin
KPCT_MOUSE	423931	Mus musculus	protein kinase C, theta
STK39_HUMAN	805205	Homo sapiens	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
MP2K5_HUMAN	776604	Homo sapiens	mitogen-activated protein kinase kinase 5
MK01_RAT	397158	Rattus norvegicus	mitogen activated protein kinase 1
S22A1_HUMAN	790093	Homo sapiens	solute carrier family 22 (organic cation transporter), member 1
S5A2_RAT	411345	Rattus norvegicus	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)
PGTB1_BOVIN	593419	Bos taurus	protein geranylgeranyltransferase type I, beta subunit
PGES2_HUMAN	819364	Homo sapiens	prostaglandin E synthase 2
SIRT2_HUMAN	815629	Homo sapiens	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)
OPRX_RAT	407322	Rattus norvegicus	opiate receptor-like 1
NMDZ1_RAT	390105	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl D-aspartate 1
Q6PRC7_IXORI	6671980	Ixodes ricinus	Q6PRC7_IXORI
SHBG_RAT	392263	Rattus norvegicus	sex hormone binding globulin
PPM1J_MOUSE	473412	Mus musculus	protein phosphatase 1J
NDUB6_HUMAN	780987	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa
QPCT_HUMAN	805764	Homo sapiens	glutaminyl-peptide cyclotransferase
P2RX7_HUMAN	811828	Homo sapiens	purinergic receptor P2X, ligand-gated ion channel, 7
NK3R_HUMAN	800672	Homo sapiens	tachykinin receptor 3
VMAT2_HUMAN	773405	Homo sapiens	solute carrier family 18 (vesicular monoamine), member 2
P2RX1_HUMAN	823129	Homo sapiens	purinergic receptor P2X, ligand-gated ion channel, 1
PE2R4_MOUSE	481519	Mus musculus	prostaglandin E receptor 4 (subtype EP4)
KGP1_HUMAN	826725	Homo sapiens	protein kinase, cGMP-dependent, type I
