GeneName1	GeneName2	Distance
ARF5	RNK	0.848
ARF5	RAB1A	0.717
ARF5	BAP31	0.84
ARF5	LDHA	0.798
ARF5	G5E9I4	0.841
ARF5	GSPT1	0.846
ARF5	CAPS2	0.643
ARF5	CPS1	0.766
ARF5	TBCD5	0.837
ARF5	LIMS3	0.843
ARF5	CYTH2	0.631
ARF5	ACADM	0.748
ARF5	RSMB	0.846
ARF5	VAPB	0.839
ARF5	EIF1	0.846
M6PR	CFTR	0.838
M6PR	SKAP2	0.781
M6PR	CD4	0.693
M6PR	VAMP3	0.584
M6PR	PRS6B	0.823
M6PR	GOGA5	0.804
M6PR	ERLEC	0.325
M6PR	E9PDG8	0.772
M6PR	MT3	0.633
M6PR	SPG21	0.791
M6PR	GNPTG	0.74
M6PR	ESR1	0.805
M6PR	SMD3	0.841
M6PR	MAPK1	0.848
M6PR	ARSA	0.498
M6PR	CTSG	0.82
M6PR	GRAH	0.843
M6PR	GRAB	0.621
M6PR	J3KMW2	0.759
M6PR	AHSA1	0.849
M6PR	CSNK2A1	0.659
M6PR	CYTS	0.539
M6PR	STS	0.823
M6PR	PGRC1	0.222
M6PR	TIMP1	0.84
M6PR	GLA	0.539
M6PR	CTSH	0.74
M6PR	THYG	0.733
M6PR	PLAT	0.823
M6PR	RNH2A	0.828
M6PR	TGFB1	0.729
M6PR	PLIN3	0.058
M6PR	CD79A	0.749
M6PR	RAB3D	0.82
M6PR	RAB3A	0.827
M6PR	BET1	0.818
M6PR	SERPINE1	0.788
M6PR	YKT6	0.802
M6PR	VIME	0.843
M6PR	MPO	0.823
M6PR	PFN1	0.834
M6PR	C1QBP	0.847
M6PR	CPD	0.762
M6PR	NAGLU	0.345
M6PR	VTN	0.82
M6PR	KLHL2	0.631
M6PR	CATC	0.705
M6PR	HSPA8	0.818
M6PR	MLEC	0.828
M6PR	CRBL2	0.841
M6PR	CNOT2	0.79
M6PR	RM51	0.844
M6PR	GAPDH	0.785
M6PR	CSN7A	0.762
M6PR	CMAS	0.838
M6PR	GHR	0.692
M6PR	LCAP	0.66
M6PR	NRAM1	0.796
M6PR	SNX17	0.796
M6PR	MOGS	0.759
M6PR	IBP2	0.671
M6PR	IBP5	0.683
M6PR	GORS2	0.817
M6PR	VAMP4	0.66
M6PR	CTSD	0.25
M6PR	RPN2	0.828
M6PR	PKD2	0.712
M6PR	J3KMY5	0.631
M6PR	SRGN	0.799
M6PR	X6R2W0	0.695
M6PR	LRP1	0.638
M6PR	S61A1	0.765
M6PR	RAB9B	0.771
M6PR	SSRA	0.829
M6PR	GGA3	0.193
M6PR	CASA1	0.162
M6PR	S35A2	0.2
M6PR	CANX	0.439
M6PR	IDUA	0.395
M6PR	KIF17	0.805
M6PR	LIF	0.823
M6PR	SNP23	0.773
M6PR	AP1M2	0.838
M6PR	CMA1	0.751
M6PR	DAD1	0.812
M6PR	LMAN1	0.629
M6PR	TS101	0.781
M6PR	J3KMZ9	0.538
M6PR	APOE	0.802
M6PR	ARPC1B	0.842
M6PR	LRP3	0.765
M6PR	ACLY	0.841
M6PR	VPP4	0.835
M6PR	FUS	0.841
M6PR	H33	0.807
M6PR	VPS4A	0.628
M6PR	SORT	0.627
M6PR	ARF3	0.647
M6PR	PPAL	0.438
M6PR	CD63	0.533
M6PR	CDK4	0.815
M6PR	TCPH	0.824
M6PR	GNS	0.794
M6PR	STX6	0.487
M6PR	IL6	0.827
M6PR	CIDEB	0.681
M6PR	NDUFB5	0.84
M6PR	GLPC	0.817
M6PR	CTSL2	0.537
M6PR	KI13A	0.276
M6PR	SORL	0.759
M6PR	LYZ	0.798
M6PR	HEXB	0.531
M6PR	MAN2A1	0.728
M6PR	ERP29	0.848
M6PR	CADH1	0.837
M6PR	HACD3	0.84
M6PR	RAB11A	0.781
M6PR	ATP5B	0.848
M6PR	PIK3C3	0.714
M6PR	COPZ1	0.849
M6PR	WIPI1	0.347
M6PR	TMED2	0.746
M6PR	PERL	0.759
M6PR	RABE1	0.762
M6PR	CSNK2A2	0.74
M6PR	ATP4A	0.683
M6PR	RAB2A	0.835
M6PR	PRDX1	0.792
M6PR	SYPH	0.8
M6PR	DDX18	0.823
M6PR	AP2S1	0.827
M6PR	TYR	0.621
M6PR	VP26A	0.835
M6PR	SELP	0.84
M6PR	LRP2	0.785
M6PR	VAMP8	0.71
M6PR	PIK3CA	0.807
M6PR	MCLN1	0.82
M6PR	FYV1	0.771
M6PR	ASPG	0.754
M6PR	VPP1	0.82
M6PR	POMC	0.765
M6PR	RAB10	0.788
M6PR	SCRB2	0.826
M6PR	ARSB	0.66
M6PR	J3KN47	0.391
M6PR	GOLP3	0.62
M6PR	EGF	0.66
M6PR	DNM1L	0.724
M6PR	DOXA1	0.771
M6PR	IGF1R	0.531
M6PR	HEXA	0.727
M6PR	FURIN	0.44
M6PR	GALNS	0.782
M6PR	NPC1	0.66
M6PR	ASGR1	0.621
M6PR	IBP4	0.694
M6PR	AKT1	0.759
M6PR	PDE4A	0.631
M6PR	PGD	0.849
M6PR	ARF1	0.627
M6PR	REN	0.267
M6PR	PDIA6	0.774
M6PR	CALM1	0.798
M6PR	RAB5A	0.66
M6PR	ATP6V1A	0.827
M6PR	FTH1	0.759
M6PR	GRAA	0.726
M6PR	S22A3	0.594
M6PR	EGFR	0.653
M6PR	IBP1	0.483
M6PR	ATP6V1B2	0.792
M6PR	PLIN2	0.692
M6PR	J3KN83	0.823
M6PR	TMX2	0.829
M6PR	NGLY1	0.835
M6PR	VP26B	0.82
M6PR	ZO1	0.826
M6PR	MGT5A	0.76
M6PR	PTH	0.8
M6PR	GJA1	0.818
M6PR	AT11A	0.82
M6PR	CA2	0.837
M6PR	SST	0.757
M6PR	HMGCR	0.84
M6PR	PIK3CB	0.807
M6PR	ACE	0.799
M6PR	VA0D1	0.846
M6PR	CALM1	0.798
M6PR	LRWD1	0.82
M6PR	AP2M1	0.832
M6PR	STX5	0.67
M6PR	TGFA	0.82
M6PR	ALPPL2	0.671
M6PR	ALBU	0.514
M6PR	RPN1	0.782
M6PR	RHO	0.82
M6PR	WDFY2	0.785
M6PR	ARF6	0.698
M6PR	VPS35	0.636
M6PR	TCPB	0.777
M6PR	GNPTA	0.532
M6PR	TPP1	0.687
M6PR	HSP90B1	0.749
M6PR	PLIN1	0.727
M6PR	1433B	0.826
M6PR	J9JID0	0.796
M6PR	RAB8A	0.719
M6PR	PLIN4	0.729
M6PR	RILP	0.781
M6PR	IBP6	0.654
M6PR	SRRM2	0.815
M6PR	PRL	0.717
M6PR	IGF1	0.46
M6PR	BGLR	0.576
M6PR	HSP74	0.763
M6PR	LMAN2	0.755
M6PR	INSR	0.538
M6PR	SCG2	0.812
M6PR	KREM2	0.349
M6PR	IRS1	0.728
M6PR	PCBP1	0.844
M6PR	GAA	0.681
M6PR	STIP1	0.799
M6PR	ARF4	0.81
M6PR	BGAL	0.676
M6PR	KINH	0.82
M6PR	SCAM3	0.828
M6PR	CYCS	0.838
M6PR	HPSE	0.804
M6PR	PLG	0.714
M6PR	MUC24	0.756
M6PR	1433Z	0.834
M6PR	HRAS	0.812
M6PR	CD34	0.801
M6PR	RAB1B	0.682
M6PR	BAF	0.79
M6PR	CTSF	0.415
M6PR	CASP3	0.8
M6PR	CATW	0.343
M6PR	RAB6A	0.727
M6PR	GGA2	0.151
M6PR	LEP	0.796
M6PR	SOMA	0.773
M6PR	VAMP2	0.773
M6PR	GBA	0.588
M6PR	SPHM	0.377
M6PR	APRV1	0.805
M6PR	PACS1	0.472
M6PR	STX4	0.757
M6PR	EEA1	0.389
M6PR	BL1S4	0.47
M6PR	EDEM3	0.798
M6PR	OS9	0.621
M6PR	BACE1	0.757
M6PR	RAP2B	0.695
M6PR	RAB43	0.796
M6PR	CALR	0.633
M6PR	ME2	0.846
M6PR	LPA	0.805
M6PR	POLE	0.76
M6PR	ACPP	0.631
M6PR	EXOC3	0.8
M6PR	A2M	0.733
M6PR	KARS	0.695
M6PR	HSP90AB1	0.804
M6PR	PPP1CA	0.782
M6PR	NCBP2	0.832
M6PR	P4HB	0.831
M6PR	CLN8	0.837
M6PR	TSPO	0.482
M6PR	ERD21	0.656
M6PR	HGS	0.625
M6PR	MGT4C	0.681
M6PR	GRIN2A	0.815
M6PR	A6NFB4	0.812
M6PR	LAMP1	0.231
M6PR	RB11B	0.804
M6PR	PROSC	0.841
M6PR	BASI	0.353
M6PR	WDR20	0.8
M6PR	SE1L1	0.701
M6PR	RB27A	0.734
M6PR	FGF1	0.787
M6PR	CAV1	0.8
M6PR	PLAUR	0.812
M6PR	IDS	0.802
M6PR	CAPR1	0.848
M6PR	SMPD1	0.744
M6PR	TM248	0.84
M6PR	LPHN1	0.801
M6PR	JARD2	0.759
M6PR	GGA1	0.079
M6PR	TM230	0.762
M6PR	CTSB	0.562
M6PR	ADCY2	0.82
M6PR	GNAI1	0.771
M6PR	CTSL1	0.57
M6PR	VAPA	0.681
M6PR	ANXA2	0.8
M6PR	GPT	0.675
M6PR	FN1	0.727
M6PR	LARGE	0.731
M6PR	ASGR2	0.632
M6PR	RAC1	0.841
M6PR	G3BP1	0.84
M6PR	AMPH	0.765
M6PR	PIGR	0.495
M6PR	INSR2	0.437
M6PR	PI3R4	0.762
M6PR	RAB18	0.842
M6PR	IGF2R	0.691
M6PR	CALM1	0.799
M6PR	DCTD	0.833
M6PR	GM2A	0.728
M6PR	AP1B1	0.538
M6PR	SRC	0.787
M6PR	J3KP21	0.84
M6PR	BDP1	0.737
M6PR	DPOLZ	0.757
M6PR	PIK3CG	0.807
M6PR	DYH8	0.66
M6PR	DYN2	0.798
M6PR	G3BP2	0.843
M6PR	CLN3	0.728
M6PR	TFR1	0.341
M6PR	GSTCD	0.8
M6PR	DPP4	0.812
M6PR	CYH1	0.8
M6PR	GOGA4	0.809
M6PR	DCTN1	0.771
M6PR	ILF2	0.832
M6PR	CD2A2	0.745
M6PR	BECN1	0.838
M6PR	AGT	0.785
M6PR	H33	0.807
M6PR	EPRS	0.84
M6PR	S22A2	0.625
M6PR	J9JIE6	0.839
M6PR	STX7	0.73
M6PR	ACKR1	0.729
M6PR	CD1D	0.815
M6PR	INSRR	0.748
M6PR	MA1A1	0.759
M6PR	CTSS	0.538
M6PR	S23IP	0.827
M6PR	VPS45	0.726
M6PR	NGF	0.755
M6PR	MYO6	0.84
M6PR	OCRL	0.812
M6PR	STX16	0.588
M6PR	JUN	0.346
M6PR	EPS15	0.654
M6PR	J3KPA4	0.804
M6PR	GHITM	0.836
M6PR	X6R8A1	0.738
M6PR	DOPP1	0.823
M6PR	PLAU	0.782
M6PR	SAR1A	0.66
M6PR	DKK1	0.74
M6PR	PRP4	0.841
M6PR	HNRPR	0.841
M6PR	PPBT	0.682
M6PR	DMA	0.693
M6PR	OST48	0.771
M6PR	F10	0.824
M6PR	NEU1	0.62
M6PR	HSP71	0.824
M6PR	IRS2	0.82
M6PR	ANF	0.838
M6PR	SLIK1	0.843
M6PR	SYVN1	0.795
M6PR	FTL	0.781
M6PR	PIK3CD	0.807
M6PR	VPS28	0.82
M6PR	TGON2	0.244
M6PR	STAM1	0.634
M6PR	MYC	0.799
M6PR	ACTR2	0.768
M6PR	VPS36	0.843
M6PR	RENR	0.637
M6PR	MCM8	0.826
M6PR	SCG1	0.8
M6PR	POLA1	0.762
M6PR	SNX2	0.808
M6PR	IL2RA	0.787
M6PR	GDIB	0.755
M6PR	J3KPH4	0.624
M6PR	SPB9	0.838
M6PR	IGFBP3	0.488
M6PR	ARSH	0.738
M6PR	TNK2	0.487
M6PR	AT12A	0.683
M6PR	ALPP	0.674
M6PR	CSH	0.818
M6PR	RENBP	0.793
M6PR	PROS1	0.82
M6PR	PSAP	0.57
M6PR	AUXI	0.762
M6PR	MOB1A	0.795
M6PR	NAGA	0.33
M6PR	ARPC4	0.807
M6PR	H9KVA4	0.782
M6PR	GRIP1	0.82
M6PR	NSF	0.82
M6PR	GRB10	0.82
M6PR	PKHB2	0.804
M6PR	RAB1A	0.787
M6PR	GLUC	0.82
M6PR	RL40	0.694
M6PR	EPN4	0.798
M6PR	TM251	0.843
M6PR	AP1M1	0.82
M6PR	F8W034	0.76
M6PR	HSP71	0.823
M6PR	TMX1	0.712
M6PR	E9PB38	0.492
M6PR	PPT1	0.739
M6PR	RECQ1	0.84
M6PR	VPS8	0.835
M6PR	NPR3	0.82
M6PR	TNF	0.798
M6PR	NEU1	0.581
M6PR	NEU1	0.759
M6PR	CSTN2	0.794
M6PR	HSP71	0.832
M6PR	EPN1	0.84
M6PR	HSP71	0.832
M6PR	VPS52	0.821
M6PR	LAMP2	0.387
M6PR	DCTN2	0.815
M6PR	NEU1	0.701
M6PR	VPS52	0.838
M6PR	H0Y7C0	0.781
M6PR	LSM2	0.82
M6PR	APOBR	0.832
M6PR	BGH3	0.682
M6PR	GOLI4	0.813
M6PR	ENW1	0.765
ESRRA	PDK4	0.244
ESRRA	CD4	0.846
ESRRA	HSD17B10	0.846
ESRRA	TBX21	0.802
ESRRA	MP2K5	0.796
ESRRA	MRP6	0.805
ESRRA	ESR1	0.037
ESRRA	SIRT1	0.316
ESRRA	STS	0.835
ESRRA	3MG	0.776
ESRRA	UBP10	0.8
ESRRA	TSC2	0.772
ESRRA	HNRPL	0.704
ESRRA	TGFB1	0.813
ESRRA	FKBP8	0.703
ESRRA	HGF	0.772
ESRRA	NRF1	0.601
ESRRA	KS6B1	0.773
ESRRA	KAT2A	0.397
ESRRA	HLF	0.767
ESRRA	CCND1	0.807
ESRRA	PAXI	0.771
ESRRA	PRDM4	0.796
ESRRA	VDR	0.096
ESRRA	IFNG	0.82
ESRRA	NANOG	0.773
ESRRA	MAPK14	0.772
ESRRA	SPRC	0.823
ESRRA	SYRC	0.837
ESRRA	LTF	0.54
ESRRA	NRBP	0.1
ESRRA	GRIN3B	0.622
ESRRA	ENOA	0.824
ESRRA	MFN2	0.695
ESRRA	G3XA84	0.74
ESRRA	NPY	0.788
ESRRA	NR4A1	0.098
ESRRA	SLC36A1	0.701
ESRRA	CDN1A	0.809
ESRRA	NR1D1	0.098
ESRRA	DLL4	0.754
ESRRA	TYMP	0.807
ESRRA	J3KMZ8	0.373
ESRRA	TAF4	0.731
ESRRA	NR1H2	0.099
ESRRA	G6PC	0.82
ESRRA	RARA	0.097
ESRRA	FUS	0.796
ESRRA	NR0B2	0.068
ESRRA	PEDF	0.714
ESRRA	LPIN1	0.82
ESRRA	ERN2	0.782
ESRRA	CDK4	0.788
ESRRA	COX5B	0.765
ESRRA	IL6	0.824
ESRRA	NDUFB5	0.82
ESRRA	FA8A1	0.798
ESRRA	J3KN20	0.631
ESRRA	CYP19A1	0.787
ESRRA	RORA	0.094
ESRRA	ERR2	0.089
ESRRA	PDGFRB	0.804
ESRRA	FLT4	0.74
ESRRA	IF4B	0.706
ESRRA	KCNH2	0.773
ESRRA	RHEB	0.74
ESRRA	TYY1	0.599
ESRRA	DCMC	0.826
ESRRA	PPARA	0.089
ESRRA	RRAGB	0.704
ESRRA	PIAS4	0.796
ESRRA	UCP1	0.682
ESRRA	MAPK3	0.812
ESRRA	ITAE	0.755
ESRRA	IL1B	0.824
ESRRA	KAT2B	0.332
ESRRA	KDR	0.779
ESRRA	PIK3CA	0.781
ESRRA	MFN1	0.798
ESRRA	CD80	0.805
ESRRA	THRA	0.093
ESRRA	POMC	0.807
ESRRA	ICAM1	0.805
ESRRA	PRGC1	0.018
ESRRA	GOLP3	0.741
ESRRA	PAIP2	0.69
ESRRA	NRP1	0.754
ESRRA	CPT1A	0.828
ESRRA	TIMP3	0.74
ESRRA	RB1	0.807
ESRRA	FITM1	0.799
ESRRA	MA2C1	0.843
ESRRA	CRTC3	0.693
ESRRA	UQCRC2	0.73
ESRRA	NCOR1	0.683
ESRRA	TP53	0.807
ESRRA	ERBB2	0.773
ESRRA	AKT1	0.771
ESRRA	PPRC1	0.5
ESRRA	PAK1	0.773
ESRRA	SLC7A11	0.828
ESRRA	EIF4E	0.771
ESRRA	FBXW7	0.772
ESRRA	FLT1	0.776
ESRRA	J3KN97	0.8
ESRRA	PPARG	0.087
ESRRA	FUK	0.681
ESRRA	PIK3CB	0.772
ESRRA	NR2F6	0.096
ESRRA	TFF1	0.772
ESRRA	BAX	0.807
ESRRA	NXF1	0.796
ESRRA	EOMES	0.721
ESRRA	SPICE	0.379
ESRRA	ADH5	0.796
ESRRA	TLR3	0.8
ESRRA	ANGP1	0.748
ESRRA	NOS3	0.841
ESRRA	TSC1	0.741
ESRRA	J3KND1	0.838
ESRRA	MED1	0.766
ESRRA	C9JFV4	0.784
ESRRA	SRRM2	0.812
ESRRA	MAP2K1	0.8
ESRRA	IGF1	0.813
ESRRA	J3KND9	0.809
ESRRA	FASN	0.731
ESRRA	J3KNE6	0.755
ESRRA	USH2A	0.704
ESRRA	B4GT6	0.847
ESRRA	RPTOR	0.733
ESRRA	DDIT4	0.682
ESRRA	CYCS	0.772
ESRRA	4EBP3	0.695
ESRRA	RAG2	0.801
ESRRA	ALAS1	0.101
ESRRA	HCFC1	0.759
ESRRA	LPL	0.798
ESRRA	NR1D2	0.101
ESRRA	PPARD	0.096
ESRRA	CASP3	0.815
ESRRA	VEGFB	0.693
ESRRA	UCP2	0.771
ESRRA	CPT1B	0.837
ESRRA	HADH	0.838
ESRRA	PRGC2	0.628
ESRRA	LEP	0.807
ESRRA	KKCC2	0.717
ESRRA	HNF4A	0.098
ESRRA	ANGP2	0.771
ESRRA	EDNRA	0.815
ESRRA	S36A4	0.693
ESRRA	CD276	0.771
ESRRA	NR2C2	0.097
ESRRA	RCAN1	0.743
ESRRA	NCOA1	0.282
ESRRA	J3KNK1	0.804
ESRRA	UCP3	0.726
ESRRA	GSK3B	0.807
ESRRA	STK11	0.826
ESRRA	WNT11	0.182
ESRRA	COT1	0.097
ESRRA	KDM3B	0.379
ESRRA	PEG3	0.731
ESRRA	RORG	0.096
ESRRA	NRIP1	0.055
ESRRA	TSPO	0.821
ESRRA	HAX1	0.841
ESRRA	SP1	0.352
ESRRA	UPP1	0.192
ESRRA	TEX40	0.666
ESRRA	PRKCD	0.379
ESRRA	TBX1	0.849
ESRRA	RARB	0.099
ESRRA	RARG	0.1
ESRRA	NR2CA	0.101
ESRRA	NR2C1	0.097
ESRRA	PNRC2	0.288
ESRRA	EDNRB	0.843
ESRRA	DCX	0.771
ESRRA	HIF1A	0.3
ESRRA	FOXO3	0.771
ESRRA	4EBP1	0.773
ESRRA	CS	0.82
ESRRA	PKN1	0.805
ESRRA	ESR2	0.096
ESRRA	PSG5	0.728
ESRRA	NR4A2	0.098
ESRRA	UBC	0.381
ESRRA	CRTC1	0.74
ESRRA	PRKAA1	0.807
ESRRA	PDGFA	0.773
ESRRA	GABPA	0.458
ESRRA	HD	0.74
ESRRA	OCLN	0.813
ESRRA	TRRAP	0.349
ESRRA	FBXL3	0.8
ESRRA	SFXN4	0.824
ESRRA	SRBP1	0.772
