GeneSymbol1	GeneSymbol2	Distance
ARF5	BAP31	0.84
ARF5	LDHA	0.798
ARF5	G5E9I4	0.841
ARF5	ERF3A	0.846
ARF5	CAPS2	0.643
ARF5	CPSM	0.766
ARF5	TBCD5	0.837
ARF5	LIMS3	0.843
ARF5	CYH2	0.631
ARF5	ACADM	0.748
ARF5	RSMB	0.846
ARF5	VAPB	0.839
ARF5	EIF1	0.846
MPRD	CFTR	0.838
MPRD	SKAP2	0.781
MPRD	CD4	0.693
MPRD	VAMP3	0.584
MPRD	PRS6B	0.823
MPRD	GOGA5	0.804
MPRD	ERLEC	0.325
MPRD	E9PDG8	0.772
MPRD	MT3	0.633
MPRD	SPG21	0.791
MPRD	GNPTG	0.74
MPRD	ESR1	0.805
MPRD	SMD3	0.841
MPRD	MK01	0.848
MPRD	ARSA	0.498
MPRD	CATG	0.82
MPRD	GRAH	0.843
MPRD	GRAB	0.621
MPRD	J3KMW2	0.759
MPRD	AHSA1	0.849
MPRD	CSK21	0.659
MPRD	CYTS	0.539
MPRD	STS	0.823
MPRD	PGRC1	0.222
MPRD	TIMP1	0.84
MPRD	AGAL	0.539
MPRD	CATH	0.74
MPRD	THYG	0.733
MPRD	TPA	0.823
MPRD	RNH2A	0.828
MPRD	TGFB1	0.729
MPRD	PLIN3	0.058
MPRD	CD79A	0.749
MPRD	RAB3D	0.82
MPRD	RAB3A	0.827
MPRD	BET1	0.818
MPRD	PAI1	0.788
MPRD	YKT6	0.802
MPRD	VIME	0.843
MPRD	PERM	0.823
MPRD	PROF1	0.834
MPRD	C1QBP	0.847
MPRD	CBPD	0.762
MPRD	ANAG	0.345
MPRD	VTNC	0.82
MPRD	KLHL2	0.631
MPRD	CATC	0.705
MPRD	HSP7C	0.818
MPRD	MLEC	0.828
MPRD	CRBL2	0.841
MPRD	CNOT2	0.79
MPRD	RM51	0.844
MPRD	G3P	0.785
MPRD	CSN7A	0.762
MPRD	NEUA	0.838
MPRD	GHR	0.692
MPRD	LCAP	0.66
MPRD	NRAM1	0.796
MPRD	SNX17	0.796
MPRD	MOGS	0.759
MPRD	IBP2	0.671
MPRD	IBP5	0.683
MPRD	GORS2	0.817
MPRD	VAMP4	0.66
MPRD	CATD	0.25
MPRD	RPN2	0.828
MPRD	PKD2	0.712
MPRD	J3KMY5	0.631
MPRD	SRGN	0.799
MPRD	X6R2W0	0.695
MPRD	LRP1	0.638
MPRD	S61A1	0.765
MPRD	RAB9B	0.771
MPRD	SSRA	0.829
MPRD	GGA3	0.193
MPRD	CASA1	0.162
MPRD	S35A2	0.2
MPRD	CALX	0.439
MPRD	IDUA	0.395
MPRD	KIF17	0.805
MPRD	LIF	0.823
MPRD	SNP23	0.773
MPRD	AP1M2	0.838
MPRD	CMA1	0.751
MPRD	DAD1	0.812
MPRD	LMAN1	0.629
MPRD	TS101	0.781
MPRD	J3KMZ9	0.538
MPRD	APOE	0.802
MPRD	ARC1B	0.842
MPRD	LRP3	0.765
MPRD	ACLY	0.841
MPRD	VPP4	0.835
MPRD	FUS	0.841
MPRD	H33	0.807
MPRD	VPS4A	0.628
MPRD	SORT	0.627
MPRD	ARF3	0.647
MPRD	PPAL	0.438
MPRD	CD63	0.533
MPRD	CDK4	0.815
MPRD	TCPH	0.824
MPRD	GNS	0.794
MPRD	STX6	0.487
MPRD	IL6	0.827
MPRD	CIDEB	0.681
MPRD	NDUB5	0.84
MPRD	GLPC	0.817
MPRD	CATL2	0.537
MPRD	KI13A	0.276
MPRD	SORL	0.759
MPRD	LYSC	0.798
MPRD	HEXB	0.531
MPRD	MA2A1	0.728
MPRD	ERP29	0.848
MPRD	CADH1	0.837
MPRD	HACD3	0.84
MPRD	RB11A	0.781
MPRD	ATPB	0.848
MPRD	PK3C3	0.714
MPRD	COPZ1	0.849
MPRD	WIPI1	0.347
MPRD	TMED2	0.746
MPRD	PERL	0.759
MPRD	RABE1	0.762
MPRD	CSK22	0.74
MPRD	ATP4A	0.683
MPRD	RAB2A	0.835
MPRD	PRDX1	0.792
MPRD	SYPH	0.8
MPRD	DDX18	0.823
MPRD	AP2S1	0.827
MPRD	TYRO	0.621
MPRD	VP26A	0.835
MPRD	LYAM3	0.84
MPRD	LRP2	0.785
MPRD	VAMP8	0.71
MPRD	PK3CA	0.807
MPRD	MCLN1	0.82
MPRD	FYV1	0.771
MPRD	ASPG	0.754
MPRD	VPP1	0.82
MPRD	COLI	0.765
MPRD	RAB10	0.788
MPRD	SCRB2	0.826
MPRD	ARSB	0.66
MPRD	J3KN47	0.391
MPRD	GOLP3	0.62
MPRD	EGF	0.66
MPRD	DNM1L	0.724
MPRD	DOXA1	0.771
MPRD	IGF1R	0.531
MPRD	HEXA	0.727
MPRD	FURIN	0.44
MPRD	GALNS	0.782
MPRD	NPC1	0.66
MPRD	ASGR1	0.621
MPRD	IBP4	0.694
MPRD	AKT1	0.759
MPRD	PDE4A	0.631
MPRD	6PGD	0.849
MPRD	ARF1	0.627
MPRD	RENI	0.267
MPRD	PDIA6	0.774
MPRD	CALM	0.798
MPRD	RAB5A	0.66
MPRD	VATA	0.827
MPRD	FRIH	0.759
MPRD	GRAA	0.726
MPRD	S22A3	0.594
MPRD	EGFR	0.653
MPRD	IBP1	0.483
MPRD	VATB2	0.792
MPRD	PLIN2	0.692
MPRD	J3KN83	0.823
MPRD	TMX2	0.829
MPRD	NGLY1	0.835
MPRD	VP26B	0.82
MPRD	ZO1	0.826
MPRD	MGT5A	0.76
MPRD	PTHY	0.8
MPRD	CXA1	0.818
MPRD	AT11A	0.82
MPRD	CAH2	0.837
MPRD	SMS	0.757
MPRD	HMDH	0.84
MPRD	PK3CB	0.807
MPRD	ACE	0.799
MPRD	VA0D1	0.846
MPRD	CALM	0.798
MPRD	LRWD1	0.82
MPRD	AP2M1	0.832
MPRD	STX5	0.67
MPRD	TGFA	0.82
MPRD	PPBN	0.671
MPRD	ALBU	0.514
MPRD	RPN1	0.782
MPRD	OPSD	0.82
MPRD	WDFY2	0.785
MPRD	ARF6	0.698
MPRD	VPS35	0.636
MPRD	TCPB	0.777
MPRD	GNPTA	0.532
MPRD	TPP1	0.687
MPRD	ENPL	0.749
MPRD	PLIN1	0.727
MPRD	1433B	0.826
MPRD	J9JID0	0.796
MPRD	RAB8A	0.719
MPRD	PLIN4	0.729
MPRD	RILP	0.781
MPRD	IBP6	0.654
MPRD	SRRM2	0.815
MPRD	PRL	0.717
MPRD	IGF1	0.46
MPRD	BGLR	0.576
MPRD	HSP74	0.763
MPRD	LMAN2	0.755
MPRD	INSR	0.538
MPRD	SCG2	0.812
MPRD	KREM2	0.349
MPRD	IRS1	0.728
MPRD	PCBP1	0.844
MPRD	LYAG	0.681
MPRD	STIP1	0.799
MPRD	ARF4	0.81
MPRD	BGAL	0.676
MPRD	KINH	0.82
MPRD	SCAM3	0.828
MPRD	CYC	0.838
MPRD	HPSE	0.804
MPRD	PLMN	0.714
MPRD	MUC24	0.756
MPRD	1433Z	0.834
MPRD	RASH	0.812
MPRD	CD34	0.801
MPRD	RAB1B	0.682
MPRD	BAF	0.79
MPRD	CATF	0.415
MPRD	CASP3	0.8
MPRD	CATW	0.343
MPRD	RAB6A	0.727
MPRD	GGA2	0.151
MPRD	LEP	0.796
MPRD	SOMA	0.773
MPRD	VAMP2	0.773
MPRD	GLCM	0.588
MPRD	SPHM	0.377
MPRD	APRV1	0.805
MPRD	PACS1	0.472
MPRD	STX4	0.757
MPRD	EEA1	0.389
MPRD	BL1S4	0.47
MPRD	EDEM3	0.798
MPRD	OS9	0.621
MPRD	BACE1	0.757
MPRD	RAP2B	0.695
MPRD	RAB43	0.796
MPRD	CALR	0.633
MPRD	MAOM	0.846
MPRD	APOA	0.805
MPRD	DPOE1	0.76
MPRD	PPAP	0.631
MPRD	EXOC3	0.8
MPRD	A2MG	0.733
MPRD	SYK	0.695
MPRD	HS90B	0.804
MPRD	PP1A	0.782
MPRD	NCBP2	0.832
MPRD	PDIA1	0.831
MPRD	CLN8	0.837
MPRD	TSPOA	0.482
MPRD	ERD21	0.656
MPRD	HGS	0.625
MPRD	MGT4C	0.681
MPRD	NMDE1	0.815
MPRD	A6NFB4	0.812
MPRD	LAMP1	0.231
MPRD	RB11B	0.804
MPRD	PROSC	0.841
MPRD	BASI	0.353
MPRD	WDR20	0.8
MPRD	SE1L1	0.701
MPRD	RB27A	0.734
MPRD	FGF1	0.787
MPRD	CAV1	0.8
MPRD	UPAR	0.812
MPRD	IDS	0.802
MPRD	CAPR1	0.848
MPRD	ASM	0.744
MPRD	TM248	0.84
MPRD	LPHN1	0.801
MPRD	JARD2	0.759
MPRD	GGA1	0.079
MPRD	TM230	0.762
MPRD	CATB	0.562
MPRD	ADCY2	0.82
MPRD	GNAI1	0.771
MPRD	CATL1	0.57
MPRD	VAPA	0.681
MPRD	ANXA2	0.8
MPRD	GPT	0.675
MPRD	FINC	0.727
MPRD	LARGE	0.731
MPRD	ASGR2	0.632
MPRD	RAC1	0.841
MPRD	G3BP1	0.84
MPRD	AMPH	0.765
MPRD	PIGR	0.495
MPRD	INSR2	0.437
MPRD	PI3R4	0.762
MPRD	RAB18	0.842
MPRD	MPRI	0.691
MPRD	CALM	0.799
MPRD	DCTD	0.833
MPRD	SAP3	0.728
MPRD	AP1B1	0.538
MPRD	SRC	0.787
MPRD	J3KP21	0.84
MPRD	BDP1	0.737
MPRD	DPOLZ	0.757
MPRD	PK3CG	0.807
MPRD	DYH8	0.66
MPRD	DYN2	0.798
MPRD	G3BP2	0.843
MPRD	CLN3	0.728
MPRD	TFR1	0.341
MPRD	GSTCD	0.8
MPRD	DPP4	0.812
MPRD	CYH1	0.8
MPRD	GOGA4	0.809
MPRD	DCTN1	0.771
MPRD	ILF2	0.832
MPRD	CD2A2	0.745
MPRD	BECN1	0.838
MPRD	ANGT	0.785
MPRD	H33	0.807
MPRD	SYEP	0.84
MPRD	S22A2	0.625
MPRD	J9JIE6	0.839
MPRD	STX7	0.73
MPRD	ACKR1	0.729
MPRD	CD1D	0.815
MPRD	INSRR	0.748
MPRD	MA1A1	0.759
MPRD	CATS	0.538
MPRD	S23IP	0.827
MPRD	VPS45	0.726
MPRD	NGF	0.755
MPRD	MYO6	0.84
MPRD	OCRL	0.812
MPRD	STX16	0.588
MPRD	JUN	0.346
MPRD	EPS15	0.654
MPRD	J3KPA4	0.804
MPRD	GHITM	0.836
MPRD	X6R8A1	0.738
MPRD	DOPP1	0.823
MPRD	UROK	0.782
MPRD	SAR1A	0.66
MPRD	DKK1	0.74
MPRD	PRP4	0.841
MPRD	HNRPR	0.841
MPRD	PPBT	0.682
MPRD	DMA	0.693
MPRD	OST48	0.771
MPRD	FA10	0.824
MPRD	NEUR1	0.62
MPRD	HSP71	0.824
MPRD	IRS2	0.82
MPRD	ANF	0.838
MPRD	SLIK1	0.843
MPRD	SYVN1	0.795
MPRD	FRIL	0.781
MPRD	PK3CD	0.807
MPRD	VPS28	0.82
MPRD	TGON2	0.244
MPRD	STAM1	0.634
MPRD	MYC	0.799
MPRD	ARP2	0.768
MPRD	VPS36	0.843
MPRD	RENR	0.637
MPRD	MCM8	0.826
MPRD	SCG1	0.8
MPRD	DPOLA	0.762
MPRD	SNX2	0.808
MPRD	IL2RA	0.787
MPRD	GDIB	0.755
MPRD	J3KPH4	0.624
MPRD	SPB9	0.838
MPRD	IBP3	0.488
MPRD	ARSH	0.738
MPRD	ACK1	0.487
MPRD	AT12A	0.683
MPRD	PPB1	0.674
MPRD	CSH	0.818
MPRD	RENBP	0.793
MPRD	PROS	0.82
MPRD	SAP	0.57
MPRD	AUXI	0.762
MPRD	MOB1A	0.795
MPRD	NAGAB	0.33
MPRD	ARPC4	0.807
MPRD	H9KVA4	0.782
MPRD	GRIP1	0.82
MPRD	NSF	0.82
MPRD	GRB10	0.82
MPRD	PKHB2	0.804
MPRD	RAB1A	0.787
MPRD	GLUC	0.82
MPRD	RL40	0.694
MPRD	EPN4	0.798
MPRD	TM251	0.843
MPRD	AP1M1	0.82
MPRD	F8W034	0.76
MPRD	HSP71	0.823
MPRD	TMX1	0.712
MPRD	E9PB38	0.492
MPRD	PPT1	0.739
MPRD	RECQ1	0.84
MPRD	VPS8	0.835
MPRD	ANPRC	0.82
MPRD	TNFA	0.798
MPRD	NEUR1	0.581
MPRD	NEUR1	0.759
MPRD	CSTN2	0.794
MPRD	HSP71	0.832
MPRD	EPN1	0.84
MPRD	HSP71	0.832
MPRD	VPS52	0.821
MPRD	LAMP2	0.387
MPRD	DCTN2	0.815
MPRD	NEUR1	0.701
MPRD	VPS52	0.838
MPRD	H0Y7C0	0.781
MPRD	LSM2	0.82
MPRD	APOBR	0.832
MPRD	BGH3	0.682
MPRD	GOLI4	0.813
MPRD	ENW1	0.765
ERR1	PDK4	0.244
ERR1	CD4	0.846
ERR1	HCD2	0.846
ERR1	TBX21	0.802
ERR1	MP2K5	0.796
ERR1	MRP6	0.805
ERR1	ESR1	0.037
ERR1	SIR1	0.316
ERR1	STS	0.835
ERR1	3MG	0.776
ERR1	UBP10	0.8
ERR1	TSC2	0.772
ERR1	HNRPL	0.704
ERR1	TGFB1	0.813
ERR1	FKBP8	0.703
ERR1	HGF	0.772
ERR1	NRF1	0.601
ERR1	KS6B1	0.773
ERR1	KAT2A	0.397
ERR1	HLF	0.767
ERR1	CCND1	0.807
ERR1	PAXI	0.771
ERR1	PRDM4	0.796
ERR1	VDR	0.096
ERR1	IFNG	0.82
ERR1	NANOG	0.773
ERR1	MK14	0.772
ERR1	SPRC	0.823
ERR1	SYRC	0.837
ERR1	TRFL	0.54
ERR1	NRBP	0.1
ERR1	NMD3B	0.622
ERR1	ENOA	0.824
ERR1	MFN2	0.695
ERR1	G3XA84	0.74
ERR1	NPY	0.788
ERR1	NR4A1	0.098
ERR1	S36A1	0.701
ERR1	CDN1A	0.809
ERR1	NR1D1	0.098
ERR1	DLL4	0.754
ERR1	TYPH	0.807
ERR1	J3KMZ8	0.373
ERR1	TAF4	0.731
ERR1	NR1H2	0.099
ERR1	G6PC	0.82
ERR1	RARA	0.097
ERR1	FUS	0.796
ERR1	NR0B2	0.068
ERR1	PEDF	0.714
ERR1	LPIN1	0.82
ERR1	ERN2	0.782
ERR1	CDK4	0.788
ERR1	COX5B	0.765
ERR1	IL6	0.824
ERR1	NDUB5	0.82
ERR1	FA8A1	0.798
ERR1	J3KN20	0.631
ERR1	CP19A	0.787
ERR1	RORA	0.094
ERR1	ERR2	0.089
ERR1	PGFRB	0.804
ERR1	VGFR3	0.74
ERR1	IF4B	0.706
ERR1	KCNH2	0.773
ERR1	RHEB	0.74
ERR1	TYY1	0.599
ERR1	DCMC	0.826
ERR1	PPARA	0.089
ERR1	RRAGB	0.704
ERR1	PIAS4	0.796
ERR1	UCP1	0.682
ERR1	MK03	0.812
ERR1	ITAE	0.755
ERR1	IL1B	0.824
ERR1	KAT2B	0.332
ERR1	VGFR2	0.779
ERR1	PK3CA	0.781
ERR1	MFN1	0.798
ERR1	CD80	0.805
ERR1	THA	0.093
ERR1	COLI	0.807
ERR1	ICAM1	0.805
ERR1	PRGC1	0.018
ERR1	GOLP3	0.741
ERR1	PAIP2	0.69
ERR1	NRP1	0.754
ERR1	CPT1A	0.828
ERR1	TIMP3	0.74
ERR1	RB	0.807
ERR1	FITM1	0.799
ERR1	MA2C1	0.843
ERR1	CRTC3	0.693
ERR1	QCR2	0.73
ERR1	NCOR1	0.683
ERR1	P53	0.807
ERR1	ERBB2	0.773
ERR1	AKT1	0.771
ERR1	PPRC1	0.5
ERR1	PAK1	0.773
ERR1	XCT	0.828
ERR1	IF4E	0.771
ERR1	FBXW7	0.772
ERR1	VGFR1	0.776
ERR1	J3KN97	0.8
ERR1	PPARG	0.087
ERR1	FUK	0.681
ERR1	PK3CB	0.772
ERR1	NR2F6	0.096
ERR1	TFF1	0.772
ERR1	BAX	0.807
ERR1	NXF1	0.796
ERR1	EOMES	0.721
ERR1	SPICE	0.379
ERR1	ADHX	0.796
ERR1	TLR3	0.8
ERR1	ANGP1	0.748
ERR1	NOS3	0.841
ERR1	TSC1	0.741
ERR1	J3KND1	0.838
ERR1	MED1	0.766
ERR1	C9JFV4	0.784
ERR1	SRRM2	0.812
ERR1	MP2K1	0.8
ERR1	IGF1	0.813
ERR1	J3KND9	0.809
ERR1	FAS	0.731
ERR1	J3KNE6	0.755
ERR1	USH2A	0.704
ERR1	B4GT6	0.847
ERR1	RPTOR	0.733
ERR1	DDIT4	0.682
ERR1	CYC	0.772
ERR1	4EBP3	0.695
ERR1	RAG2	0.801
ERR1	HEM1	0.101
ERR1	HCFC1	0.759
ERR1	LIPL	0.798
ERR1	NR1D2	0.101
ERR1	PPARD	0.096
ERR1	CASP3	0.815
ERR1	VEGFB	0.693
ERR1	UCP2	0.771
ERR1	CPT1B	0.837
ERR1	HCDH	0.838
ERR1	PRGC2	0.628
ERR1	LEP	0.807
ERR1	KKCC2	0.717
ERR1	HNF4A	0.098
ERR1	ANGP2	0.771
ERR1	EDNRA	0.815
ERR1	S36A4	0.693
ERR1	CD276	0.771
ERR1	NR2C2	0.097
ERR1	RCAN1	0.743
ERR1	NCOA1	0.282
ERR1	J3KNK1	0.804
ERR1	UCP3	0.726
ERR1	GSK3B	0.807
ERR1	STK11	0.826
ERR1	WNT11	0.182
ERR1	COT1	0.097
ERR1	KDM3B	0.379
ERR1	PEG3	0.731
ERR1	RORG	0.096
ERR1	NRIP1	0.055
ERR1	TSPOA	0.821
ERR1	HAX1	0.841
ERR1	SP1	0.352
ERR1	UPP1	0.192
ERR1	TEX40	0.666
ERR1	KPCD	0.379
ERR1	TBX1	0.849
ERR1	RARB	0.099
ERR1	RARG	0.1
ERR1	NR2CA	0.101
ERR1	NR2C1	0.097
ERR1	PNRC2	0.288
ERR1	EDNRB	0.843
ERR1	DCX	0.771
ERR1	HIF1A	0.3
ERR1	FOXO3	0.771
ERR1	4EBP1	0.773
ERR1	CISY	0.82
ERR1	PKN1	0.805
ERR1	ESR2	0.096
ERR1	PSG5	0.728
ERR1	NR4A2	0.098
ERR1	UBC	0.381
ERR1	CRTC1	0.74
ERR1	AAPK1	0.807
ERR1	PDGFA	0.773
ERR1	GABPA	0.458
ERR1	HD	0.74
ERR1	OCLN	0.813
ERR1	TRRAP	0.349
ERR1	FBXL3	0.8
ERR1	SFXN4	0.824
ERR1	SRBP1	0.772
ERR1	THB	0.1
ERR1	INSR2	0.714
ERR1	RICTR	0.74
ERR1	SRC	0.33
ERR1	STAT4	0.805
ERR1	PK3CG	0.788
ERR1	MYG	0.807
ERR1	RXRG	0.101
ERR1	VKORL	0.8
ERR1	COX1	0.738
ERR1	MTOR	0.671
ERR1	OSTC	0.801
ERR1	CD2A2	0.815
ERR1	TGM2	0.773
ERR1	TFB2M	0.727
ERR1	PARP1	0.776
ERR1	PRKN2	0.381
ERR1	TFB1M	0.732
ERR1	PTPRC	0.787
